NUMERO_PEDIDO;DATA_DIVULGACAO;DATA_CANCELAMENTO;FILIAL;MOTIVO;SUBMOTIVO;COD_PDV;PRODUTO;CANAL;CPF;NOME_CLIENTE;LOGIN_VENDEDOR;DESC_CAMPANHA;DESC_OFERTA;GRUPO_UNIDADE;CANAL_REGIONAL;DESC_CANAL_BOV_GRUPO;NOME_PONTO_VENDA;RESULTADO_FINAL;MUNICIPIO_INSTALACAO;DDD_FIXO;DETALHE_MOTIVO;FLG_VL_VL_MESMO_END_CLIE_DIF;FLG_VL_VL_CLIE_END_IGUAL;FLG_VL_PLT_CLIE_END_IGUAL;FLG_VL_PLT_MESMO_END_CLIE_DIF
"4-171428539109";20240422;20240420;RS;VENDA ERRADA;Endereco Correto Inviavel;1052757;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;BC724343;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;BRASIL TELECOM CALL CENTER S A;;PORTO ALEGRE;51;;;;;
"4-170970167525";20240402;20240328;RJ;VENDA INDEVIDA;Pedido Duplicado;1063046;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR731900;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;PAP;FIBRACOIN SERVICOS TELECOM LTDA;;RIO DE JANEIRO;21;;;;;
"4-172777059379";20240415;20240411;TO;VENDA ERRADA;Divergencia De Endereco;1054903;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR753940;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;RCN;PAP;WMM TELECOM EIRELI;;PALMAS;63;Divergencia De Endereco;;;;
"4-172325259750";20240408;20240406;MT;VENDA INDEVIDA;Pedido Duplicado;1055285;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC769625;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;BRASIL TELECOM CALL CENTER S A;;SINOP;66;;;;;
"4-171096474682";20240408;20240405;RJ;VENDA ERRADA;Divergencia De Endereco;1063153;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR789756;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;RSE;OUTROS;MEGA FIBER RIO SERV TELECOM LTDA;;PETROPOLIS;24;Divergencia De Endereco;;;;
"4-172077597418";20240404;20240403;GO;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1065866;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR796380;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;RCN;TELEAGENTES;JT TELECOMUNICACOES LTDA;;GOIANIA;62;;;;;
"4-172793010642";20240418;20240413;MT;VENDA INDEVIDA;Pedido Duplicado;1065204;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR768690;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;PLUG TELECOM LTDA;;RONDONOPOLIS;66;;;;;
"4-173780887483";20240422;20240419;RJ;VENDA INDEVIDA;Pedido Duplicado;1066427;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR802179;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;EQUIPOCLASS COMERCIO REPRES LTDA;;MESQUITA;21;;;;;
"4-172294845948";20240415;20240412;RJ;VENDA INDEVIDA;Pedido Duplicado;1066427;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800765;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;EQUIPOCLASS COMERCIO REPRES LTDA;;ITAGUAI;21;;;;;
"4-173201452585";20240418;20240415;RS;VENDA INDEVIDA;Pedido Duplicado;1065840;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR796479;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;TELEAGENTES;FERNANDES E MARTINS TELECOM LTDA;;PORTO ALEGRE;51;;;;;
"4-172787812319";20240411;20240410;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1063796;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800425;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;INTERATIVA INTER NEGOCIOS LTDA;;NITEROI;21;;;;;
"4-171528914789";20240402;20240329;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1063796;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800348;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;INTERATIVA INTER NEGOCIOS LTDA;;RIO DE JANEIRO;21;;;;;
"4-173758633800";20240422;20240419;PR;VENDA INDEVIDA;Pedido Duplicado;1058221;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR523012;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;PAP;ATUAL TELECOMUNICACOES EIRELI;;PIRAQUARA;41;;;;;S
"4-171685449711";20240416;20240330;RS;VENDA INDEVIDA;Pedido Duplicado;1063751;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR763599;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;MAANAIM TELECOM LTDA;;RIO PARDO;51;;;;;
"4-171604776899";20240415;20240411;RS;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1065361;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR795753;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;TELEAGENTES;TECH EXCELENCIA TELECOM LTDA;;PORTO ALEGRE;51;;;;;
"4-169794889336";20240411;20240321;RS;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1065361;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR797054;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;TELEAGENTES;TECH EXCELENCIA TELECOM LTDA;;SAO LEOPOLDO;51;;;;;
"4-171055490277";20240411;20240321;RS;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1065361;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR790308;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;TELEAGENTES;TECH EXCELENCIA TELECOM LTDA;;NOVO HAMBURGO;51;;;;;
"4-172554188939";20240418;20240416;SE;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1064523;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR799426;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;RNE;OUTROS;CALLTECH COM SERV TELECOM LTDA;;ARACAJU;79;;;;;
"4-172389641476";20240415;20240410;MS;VENDA INDEVIDA;Pedido Duplicado;1064193;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR761465;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;VEEP BRASIL TELEMARKETING LTDA;;CAMPO GRANDE;67;;;;;
"4-171763922027";20240402;20240401;GO;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1062990;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800899;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;RCN;OUTROS;TOCANTINS TELECOM LTDA;;GOIANIA;62;;;;;
"4-172296260157";20240409;20240408;SC;VENDA ERRADA;Divergencia De Endereco;1065244;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR791124;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;RM TELECOM LTDA;;LAGES;49;Divergencia De Endereco;;;;
"4-172378013825";20240408;20240405;AM;VENDA INDEVIDA;Pedido Duplicado;1058266;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;BC732870;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;BRASIL TELECOM CALL CENTER SA;;MANAUS;92;;;;;
"4-172296397571";20240405;20240404;RO;VENDA INDEVIDA;Pedido Duplicado;1063801;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR779951;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;MAVH TELECOMUNICACOES LTDA;;VILHENA;69;;;;;
"4-173772327680";20240422;20240419;RO;VENDA INDEVIDA;Pedido Duplicado;1063801;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR763973;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;MAVH TELECOMUNICACOES LTDA;;PORTO VELHO;69;;;;;S
"4-172947696919";20240422;20240419;TO;VENDA INDEVIDA;Pedido Duplicado;1066195;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800302;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;TELEAGENTES;DUAL CONT CONSUL E MARKETING LTDA;;PALMAS;63;;;;;
"4-172770786262";20240411;20240410;RJ;VENDA INDEVIDA;Pedido Duplicado;1061130;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR796642;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;START TELECOM LTDA;;SAO JOAO DE MERITI;21;;;;;
"4-172529584819";20240408;20240406;MG;VENDA INDEVIDA;Pedido Duplicado;1066196;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR646787;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;LP CONEXOES TELECOM LIMITADA;;BELO HORIZONTE;31;;;;;
"4-172992082962";20240422;20240419;RS;VENDA INDEVIDA;Pedido Duplicado;1045301;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR797664;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;HOPE TELECOMUNICACOES EIRELI;;PORTO ALEGRE;51;;;;;
"4-173564678573";20240422;20240419;RS;VENDA INDEVIDA;Pedido Duplicado;1045301;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR559546;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;HOPE TELECOMUNICACOES EIRELI;;PORTO ALEGRE;51;;;;;
"4-173411148819";20240418;20240416;MG;VENDA INDEVIDA;Pedido Duplicado;1048166;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC792040;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;BRASIL TELECOM CALL CENTER S A;;CONTAGEM;31;;;;;
"4-173601585118";20240419;20240418;RS;VENDA INDEVIDA;Pedido Duplicado;1064203;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR774480;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;VEEP BRASIL TELEMARKETING LTDA;;SAO LEOPOLDO;51;;;;;
"4-172040181513";20240405;20240404;RS;VENDA INDEVIDA;Pedido Duplicado;1062987;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR756464;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;A SAMUEL E CIA LTDA ME;;PORTO ALEGRE;51;;;;;
"4-171530637733";20240409;20240408;MS;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1063740;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR763599;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;MAANAIM TELECOM LTDA;;CAMPO GRANDE;67;;;;;
"4-172997608687";20240422;20240420;MG;VENDA INDEVIDA;Pedido Duplicado;1062687;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR795790;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SMART CELL TELECOMUNICACOES LTDA;;BETIM;31;;;;;
"4-171605412479";20240404;20240403;MG;VENDA ERRADA;Divergencia De Endereco;1062687;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR771445;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SMART CELL TELECOMUNICACOES LTDA;;IBIRITE;31;Divergencia De Endereco;;;;
"4-171597927540";20240402;20240328;MG;VENDA ERRADA;Divergencia De Endereco;1062687;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR771445;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;SMART CELL TELECOMUNICACOES LTDA;;BELO HORIZONTE;31;Divergencia De Endereco;;;;
"4-173348770096";20240418;20240413;SC;VENDA INDEVIDA;Pedido Duplicado;1066490;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR801475;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;TOGETHER SALES LTDA;;BLUMENAU;47;;;;;
"4-171054633654";20240403;20240402;RJ;VENDA INDEVIDA;Pedido Duplicado;1048181;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC792091;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;BRASIL TELECOM CALL CENTER S A;;RIO DE JANEIRO;21;;;;;
"4-171983985623";20240408;20240406;RJ;VENDA INDEVIDA;Pedido Duplicado;1048181;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC761463;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;BRASIL TELECOM CALL CENTER S A;;RIO DE JANEIRO;21;;;;;
"4-172212090011";20240405;20240404;RS;VENDA INDEVIDA;Pedido Duplicado;1057814;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800136;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;WEBMAIS REPRESENTACOES COM LTDA;;NOVO HAMBURGO;51;;;;;
"4-171974098469";20240405;20240404;RS;VENDA INDEVIDA;Pedido Duplicado;1065894;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR754210;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;TELEAGENTES;SUPREMA CAL CENTER LTDA;;ALVORADA;51;;;;;
"4-173014126598";20240411;20240410;RR;VENDA INDEVIDA;Pedido Duplicado;1063280;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR791158;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;JM TECNOLOGIA LTDA;;BOA VISTA;95;;;;;
"4-172093357513";20240409;20240408;RR;VENDA ERRADA;Divergencia De Endereco;1063280;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR739780;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;JM TECNOLOGIA LTDA;;BOA VISTA;95;Divergencia De Endereco;;;;
"4-172782390868";20240418;20240416;RJ;VENDA INDEVIDA;Pedido Duplicado;1064062;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR799863;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;HOME COMPANY TELECOM LTDA;;SAO PEDRO DA ALDEIA;22;;;;;
"4-171521974694";20240402;20240328;RJ;VENDA INDEVIDA;Pedido Duplicado;1064062;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800771;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;HOME COMPANY TELECOM LTDA;;BARRA DO PIRAI;24;;;;;
"4-170209603288";20240402;20240328;ES;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1064488;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR793594;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;BWM CONSULTORIA E SERVICOS LTDA;;SERRA;27;;;;;
"4-171949308195";20240405;20240404;MT;VENDA INDEVIDA;Pedido Duplicado;1065195;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR724540;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;L C DOS SANTOS E CIA LTDA;;PRIMAVERA DO LESTE;66;;;;;
"4-173766717390";20240422;20240420;RJ;VENDA INDEVIDA;Pedido Duplicado;1063931;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR784038;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;PROMOBILE COMERCIO COMUNICA LTDA;;VOLTA REDONDA;24;;;;;
"4-173745495144";20240422;20240419;RJ;VENDA INDEVIDA;Pedido Duplicado;1063931;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR794948;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;PROMOBILE COMERCIO COMUNICA LTDA;;NILOPOLIS;21;;;;;
"4-173112150897";20240415;20240411;RJ;VENDA INDEVIDA;Pedido Duplicado;1063931;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR793053;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;PROMOBILE COMERCIO COMUNICA LTDA;;RIO DE JANEIRO;21;;;;;
"4-172948145070";20240411;20240410;RJ;VENDA INDEVIDA;Pedido Duplicado;1063931;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR782869;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;PROMOBILE COMERCIO COMUNICA LTDA;;RIO DE JANEIRO;21;;;;;
"4-173337953574";20240419;20240417;RJ;VENDA ERRADA;Divergencia De Endereco;1063931;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR790663;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;PROMOBILE COMERCIO COMUNICA LTDA;;VILAR DOS TELES;21;Divergencia De Endereco;;;;
"4-172101151582";20240405;20240404;DF;VENDA INDEVIDA;Pedido Duplicado;1065395;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR790975;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;LM COMUNICACOES LTDA;;TAGUATINGA;61;;;;;
"4-171368270508";20240411;20240401;MS;VENDA INDEVIDA;Pedido Duplicado;1064832;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR793765;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;TELEAGENTES;MARCELO A STEFANOSKI EIRELI;;CAMPO GRANDE;67;;;;;
"4-173604786045";20240422;20240419;GO;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1065455;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR703926;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;RCN;OUTROS;INOVE SERV REPR DE TELECOM LTDA;;AGUAS LINDAS DE GOIAS;61;;;;;
"4-169706005988";20240422;20240420;MT;VENDA INDEVIDA;Pedido Duplicado;1061000;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR798975;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;TELEAGENTES;CONEXAO NORTE SERVICOS TEL EIRELI;;TANGARA DA SERRA;65;;;;;
"4-173835296606";20240422;20240420;PR;VENDA INDEVIDA;Pedido Duplicado;1044255;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR705987;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;HIVE COMPANY MARKETING LTDA;;MARINGA;44;;;;;
"4-173596876597";20240419;20240418;PR;VENDA INDEVIDA;Pedido Duplicado;1044255;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR801467;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;HIVE COMPANY MARKETING LTDA;;CURITIBA;41;;;;;S
"4-171777730968";20240410;20240409;AM;VENDA INDEVIDA;Pedido Duplicado;1057804;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR799291;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;WEBMAIS REPRESENTACOES COM LTDA;;MANAUS;92;;;;;
"4-172962381713";20240411;20240410;GO;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1051976;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR650623;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;RCN;PAP;ETICA TELECOM LTDA;;ANAPOLIS;62;;;;;
"4-171091310690";20240402;20240328;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1064981;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR801181;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;RSE;TELEAGENTES;LCS SERVICOS TELECOMUNICACOES LTDA;;RIO DE JANEIRO;21;;;;;
"4-172782149988";20240422;20240419;RJ;VENDA INDEVIDA;Pedido Duplicado;1065641;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR796268;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;J3F CONNECT C TELEMARKETING LTDA;;SAO JOAO DE MERITI;21;;;;;
"4-172377145828";20240409;20240408;MT;VENDA ERRADA;Divergencia De Endereco;1065249;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR519373;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;RM TELECOM LTDA;;CACERES;65;Divergencia De Endereco;;;;
"4-171394498018";20240402;20240328;RO;VENDA INDEVIDA;Pedido Duplicado;1064374;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR794388;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;SUPER FIT TELECOM LTDA;;JARU;69;;;;;
"4-172043327098";20240405;20240404;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1051882;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;BC792091;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;BRASIL TELECOM CALL CENTER SA;;RIO DE JANEIRO;21;;;S;;
"4-172005916538";20240404;20240403;RJ;VENDA INDEVIDA;Pedido Duplicado;1057819;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR642313;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;WEBMAIS REPRESENTACOES COM LTDA;;NILOPOLIS;21;;;;;
"4-172592316446";20240409;20240408;RJ;VENDA INDEVIDA;Pedido Duplicado;1057819;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR795359;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;WEBMAIS REPRESENTACOES COM LTDA;;RIO DE JANEIRO;21;;;;;
"4-173254235340";20240415;20240413;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1057819;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR795359;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;WEBMAIS REPRESENTACOES COM LTDA;;RIO DE JANEIRO;21;;;;;
"4-172282769505";20240422;20240419;RJ;VENDA INDEVIDA;Pedido Duplicado;1048265;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR795347;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;EASY CONNECT SOL E TELECOM LTDA;;SAO GONCALO;21;;;;;
"4-171599317768";20240404;20240403;PR;VENDA ERRADA;Divergencia De Endereco;1043524;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR755585;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;RSUL;PAP;PRIMEIRA OP SERV VENDA EIRELI;;GUARAPUAVA;42;Divergencia De Endereco;;;;
"4-171125101382";20240416;20240329;ES;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1063737;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR777802;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;RSE;OUTROS;MAANAIM TELECOM LTDA;;VITORIA;27;;;;;
"4-170618237377";20240402;20240329;AM;VENDA INDEVIDA;Pedido Duplicado;1065804;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR797851;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;TELEAGENTES;UNT TELECOM LTDA;;MANAUS;92;;;;;
"4-170337360084";20240402;20240314;GO;VENDA ERRADA;Divergencia De Endereco;1060885;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR789659;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;TOP FIBER TELECOM UNIPESSOAL LTDA;;GOIANIA;62;Divergencia De Endereco;;;;
"4-172537278527";20240408;20240406;PA;VENDA INDEVIDA;Pedido Duplicado;1046186;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC292311;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP SA;;BELEM;91;;;;;
"4-173235427263";20240415;20240413;RJ;VENDA INDEVIDA;Pedido Duplicado;1061287;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR762065;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;TESS SOLUCOES LTDA;;RIO DE JANEIRO;21;;;;;
"4-173321783558";20240415;20240413;RJ;VENDA INDEVIDA;Pedido Duplicado;1063156;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR651882;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;APICE FIBRA LTDA;;NITEROI;21;;;;;
"4-171595156453";20240402;20240328;RJ;VENDA INDEVIDA;Pedido Duplicado;1063156;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR685726;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;APICE FIBRA LTDA;;SAO GONCALO;21;;;;;S
"4-171532793998";20240402;20240328;MS;VENDA INDEVIDA;Pedido Duplicado;1064774;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR789164;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;TELEAGENTES;TEC CALL SOLU SERVICOS LTDA;;CAMPO GRANDE;67;;;;;
"4-173569039278";20240422;20240419;PA;VENDA INDEVIDA;Pedido Duplicado;1063742;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR797118;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;MAANAIM TELECOM LTDA;;ANANINDEUA;91;;;;;
"4-171591262515";20240403;20240401;RS;VENDA INDEVIDA;Pedido Duplicado;1066222;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;BC792246;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;BRASIL TELECOM CALL CENTER S A;;PORTO ALEGRE;51;;;;;
"4-171178335915";20240402;20240328;RS;VENDA INDEVIDA;Pedido Duplicado;1066222;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;BC791721;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;BRASIL TELECOM CALL CENTER S A;;PORTO ALEGRE;51;;;;;
"4-173139472663";20240415;20240412;BA;VENDA INDEVIDA;Pedido Duplicado;1066557;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR787016;;BD_OITOTAL_VOIP+BL;VAREJO;RNE;OUTROS;;;SALVADOR;71;;;;;
"4-173344735283";20240418;20240416;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1061357;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR760257;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;PAP;SANTANNA TELE COM SERVICOS EIRELI;;CASIMIRO DE ABREU;22;;;;;
